Age,MonthlyCharges,TenureMonths,InternetUsageGB,SupportCalls,CustomerChurn
56,23,32,670,5,0
46,48,48,352,2,0
32,128,4,645,12,1
25,117,70,644,7,0
38,56,19,852,13,0
56,94,32,118,14,1
36,89,9,178,0,0
40,147,12,245,0,0
28,104,11,189,5,1
28,61,46,493,9,0
41,119,16,332,12,1
53,60,1,361,0,0
57,53,63,795,5,0
41,36,21,584,0,0
20,141,30,714,13,0
39,95,13,326,12,1
19,106,34,110,5,0
41,136,4,368,2,1
47,125,28,939,13,0
55,105,59,101,13,1
19,46,27,905,14,0
38,76,69,202,7,0
50,50,25,798,12,0
29,117,3,360,14,1
39,31,68,863,5,0
42,72,25,593,12,0
44,141,20,616,10,0
59,65,34,913,12,0
45,83,26,438,0,0
33,149,5,597,14,1
32,73,61,671,4,0
20,126,9,226,7,1
54,70,50,411,2,0
24,55,6,363,11,1
38,134,60,856,5,0
26,45,44,897,4,0
56,48,11,146,5,0
35,30,66,930,9,0
21,59,47,262,0,0
42,30,3,878,6,0
31,132,30,186,8,1
26,58,21,55,1,0
43,73,28,158,9,0
19,117,62,596,14,0
37,74,33,88,4,0
45,130,35,711,9,0
24,88,52,474,3,0
25,75,34,679,5,0
52,52,41,310,5,0
31,55,51,475,10,0
34,100,47,136,1,0
53,128,58,514,1,0
57,92,57,125,3,0
21,59,23,520,0,0
19,36,48,463,8,0
23,148,22,874,13,0
59,80,17,944,13,0
21,123,69,775,12,0
46,61,11,506,6,0
35,44,15,334,11,0
43,58,35,288,6,0
51,54,33,726,14,0
27,127,16,648,2,0
53,121,34,702,14,0
31,117,66,721,10,0
48,31,40,607,14,0
32,38,28,421,11,0
25,120,47,544,2,0
31,63,39,673,0,0
40,68,70,968,2,0
57,36,20,94,2,0
38,93,1,450,3,1
33,76,63,296,3,0
35,74,67,665,2,0
41,66,4,646,9,0
43,31,58,499,11,0
42,81,25,534,7,0
58,99,47,695,7,0
46,102,38,669,12,0
32,27,15,67,12,0
18,100,63,655,0,0
42,137,21,711,6,0
24,44,57,807,10,0
26,108,53,338,1,0
41,31,46,463,0,0
18,78,14,770,2,0
25,128,17,687,3,0
41,45,39,284,12,0
28,66,9,465,5,0
34,51,6,987,9,0
25,29,23,548,13,0
52,35,59,683,4,0
52,45,46,699,14,0
50,105,38,164,14,1
22,33,14,981,13,0
59,98,62,723,3,0
56,136,35,762,7,0
58,26,19,283,10,0
45,134,30,589,11,0
24,91,25,60,13,1
26,78,40,255,3,0
25,101,14,728,12,0
29,135,26,296,9,1
51,122,22,608,11,0
50,36,48,807,12,0
40,33,51,176,1,0
41,127,3,196,14,1
54,64,42,167,2,0
52,117,19,960,5,0
57,56,28,431,7,0
39,127,45,461,7,1
44,58,71,713,14,0
52,34,63,633,10,0
18,139,19,412,14,1
52,23,47,558,8,0
54,112,14,186,6,0
31,35,38,224,12,0
20,127,53,338,1,0
18,145,61,530,7,0
22,74,36,68,6,0
43,53,40,244,7,0
31,32,30,379,11,0
56,37,9,985,2,0
44,115,64,224,6,0
26,142,33,498,9,1
32,58,52,974,12,0
32,65,14,995,8,0
43,48,53,403,2,0
59,81,59,548,13,0
30,35,41,190,9,0
49,140,68,807,5,0
56,29,68,946,1,0
49,122,8,979,1,0
21,103,2,142,4,1
47,84,41,993,4,0
54,22,55,288,12,0
40,139,16,254,6,0
56,87,62,609,11,0
32,56,48,482,1,0
46,92,30,294,10,1
53,68,12,881,13,0
30,140,35,366,12,1
49,107,11,974,6,0
24,56,64,344,4,0
39,80,50,689,13,0
45,143,21,905,5,0
19,58,69,331,7,0
59,82,48,66,9,0
23,65,20,120,12,0
45,107,67,318,13,1
45,30,44,374,11,0
37,81,33,843,3,0
47,96,61,354,12,1
28,71,9,500,6,0
45,23,68,56,5,0
42,78,35,363,9,0
56,91,65,866,1,0
50,112,8,152,14,1
18,82,45,870,7,0
44,73,47,242,9,0
30,136,40,802,8,0
58,129,54,623,4,0
20,93,46,578,9,0
56,126,47,220,3,0
23,76,15,586,5,0
25,22,19,300,7,0
44,139,26,814,10,0
26,25,52,436,14,0
54,24,22,256,2,0
50,24,21,590,9,0
59,73,51,678,10,0
41,66,38,465,10,0
32,28,20,843,0,0
49,118,29,429,3,0
49,39,51,193,14,0
41,141,4,74,3,1
58,80,55,871,0,0
29,142,71,717,8,0
56,101,28,122,2,0
19,81,4,681,4,0
20,22,22,873,5,0
54,32,45,882,7,0
34,139,67,142,5,0
19,144,66,554,2,0
19,108,34,647,5,0
45,92,55,385,0,0
40,87,1,474,3,0
54,120,38,548,5,0
49,117,6,413,6,1
50,30,25,996,10,0
18,124,17,679,12,0
36,86,61,794,10,0
19,142,12,248,9,1
43,48,6,767,2,0
49,95,27,462,8,1
23,28,8,388,11,1
49,59,65,708,11,0
21,44,57,986,6,0
28,24,40,478,13,0
34,143,14,832,0,0
55,57,35,948,1,0
41,91,48,188,0,0
22,109,56,742,10,0
51,56,49,991,8,0
23,79,13,591,8,0
39,47,61,106,6,0
28,100,49,281,9,1
33,133,46,707,2,0
50,59,62,484,12,0
26,64,8,433,14,1
23,81,43,609,4,0
33,112,20,243,14,1
46,134,39,785,3,0
20,86,49,697,6,0
37,75,64,583,13,0
53,59,62,567,8,0
36,117,54,765,11,0
43,59,9,800,1,0
20,110,37,234,12,1
36,52,49,921,7,0
37,25,41,341,14,0
49,99,17,384,8,1
24,111,21,781,9,0
58,116,51,165,13,1
50,78,59,874,9,0
57,78,39,98,8,0
56,67,55,734,13,0
35,32,41,131,9,0
57,126,39,883,13,0
18,64,13,382,6,0
28,108,64,606,14,0
45,119,11,384,8,1
42,26,19,581,8,0
40,64,11,270,13,1
48,77,46,684,2,0
47,50,45,795,3,0
59,42,1,782,1,0
52,126,40,372,9,1
24,58,19,900,2,0
33,101,61,52,10,1
43,119,12,743,10,0
19,21,61,255,4,0
18,96,33,881,4,0
29,31,45,89,5,0
22,58,69,108,12,0
54,32,8,623,6,0
49,65,25,693,6,0
26,132,46,556,0,0
58,36,30,621,13,0
52,123,47,933,1,0
36,117,49,892,11,0
33,107,47,171,8,1
20,128,18,528,9,0
37,89,66,668,1,0
41,93,68,145,5,0
50,82,33,908,10,0
41,79,36,463,10,0
28,98,19,284,0,0
25,56,28,947,2,0
53,41,40,111,1,0
55,115,15,305,2,0
57,87,41,610,4,0
37,36,39,954,10,0
52,31,2,397,9,1
42,137,63,720,5,0
52,41,29,173,8,0
42,139,66,531,11,0
46,69,51,366,10,0
35,33,10,553,14,0
35,48,14,768,14,0
19,144,51,97,9,1
52,26,39,458,11,0
33,48,28,981,11,0
58,52,3,185,12,1
53,130,70,250,3,0
50,98,27,299,6,0
21,77,2,363,5,0
50,45,38,918,1,0
31,48,3,417,9,1
38,23,16,478,10,0
37,118,40,879,10,0
25,58,2,856,10,0
24,34,41,529,14,0
20,138,12,363,14,1
34,48,35,549,7,0
50,94,65,770,6,0
29,135,55,404,14,1
39,51,45,534,14,0
39,149,62,260,6,0
47,103,49,753,13,0
55,41,25,93,14,0
55,46,23,590,7,0
25,100,24,620,11,0
44,145,38,632,11,0
44,111,28,141,12,1
51,40,21,314,13,0
38,66,54,944,10,0
47,120,18,269,0,0
50,103,36,951,14,0
45,25,45,974,12,0
50,20,53,491,0,0
22,77,30,450,7,0
36,143,60,449,3,0
21,34,32,776,4,0
52,83,67,948,7,0
34,44,67,838,4,0
45,43,28,625,9,0
47,31,44,907,3,0
46,37,41,853,11,0
23,34,63,539,5,0
52,46,23,534,12,0
58,91,48,806,14,0
54,79,32,519,11,0
41,112,57,623,4,0
46,72,33,987,13,0
48,27,24,893,6,0
52,98,39,731,13,0
50,46,34,494,9,0
38,69,56,318,6,0
49,112,28,316,12,1
40,43,37,103,3,0
50,79,7,577,11,0
20,141,68,569,12,0
35,65,37,665,4,0
42,34,56,108,12,0
59,36,65,874,2,0
48,145,65,89,14,1
20,103,47,286,3,0
57,28,20,435,14,0
41,82,19,655,13,0
49,136,29,783,3,0
39,149,60,765,2,0
40,107,18,699,12,0
19,91,35,349,9,1
44,83,43,444,4,0
59,91,11,256,4,1
19,40,49,385,10,0
43,37,38,642,6,0
34,83,64,779,3,0
57,101,69,563,12,0
50,129,8,227,3,1
26,114,34,445,8,1
56,51,48,420,5,0
46,30,56,907,14,0
59,64,65,840,3,0
43,52,31,707,1,0
52,121,4,367,5,1
42,30,50,785,1,0
41,107,69,418,4,0
30,60,30,433,5,0
24,95,59,111,3,0
53,140,67,855,13,0
37,65,45,554,12,0
18,99,4,288,2,1
25,73,26,244,6,0
33,105,27,727,1,0
31,111,46,271,12,1
29,116,64,110,10,1
40,21,51,178,13,0
32,52,50,734,5,0
45,96,6,205,12,1
51,135,59,966,3,0
19,122,15,427,5,0
49,122,30,671,3,0
40,109,42,830,3,0
39,141,37,972,14,0
42,125,42,917,3,0
39,138,35,952,8,0
39,68,6,839,6,0
