Age,Salary,Experience,CreditScore,LoanAmount,LoanApproved
59,29018,19,369,44954,0
49,36302,0,510,43870,0
35,92506,9,400,36030,1
63,66157,7,431,35873,1
28,79917,17,680,5619,1
41,117738,0,431,38650,0
59,121646,1,319,30372,0
39,108122,0,835,8642,1
43,49519,0,526,33001,0
31,121809,8,453,39064,1
31,112487,12,768,34290,1
44,81819,0,704,19122,1
56,105910,12,501,29820,1
60,145430,19,337,7895,1
44,96324,21,487,10366,1
23,30408,6,356,13711,0
42,84379,1,319,24596,0
22,50053,5,572,23793,0
44,34446,6,418,13199,0
64,25922,13,882,15717,1
50,123723,17,815,41191,1
58,76356,14,520,15211,1
22,35789,1,825,28360,0
41,122720,9,814,26542,1
53,91656,22,635,36312,1
32,69028,11,354,41435,0
42,89484,16,799,33247,1
64,57154,7,835,27357,1
45,107870,10,461,46045,0
47,27336,2,893,32691,0
62,128677,5,458,17424,1
48,92779,8,487,23852,1
36,44029,5,359,27601,0
35,84201,8,618,23020,1
64,57265,6,510,13155,0
23,127916,8,705,8583,1
57,137250,17,408,20515,1
27,141553,11,375,41777,0
41,68872,7,841,24710,1
29,71197,7,613,48178,0
59,80180,17,416,29532,1
38,48710,19,318,23601,0
24,54486,14,731,9967,1
45,96907,6,649,23753,1
34,96895,10,482,25022,1
29,89435,19,412,48463,0
46,65631,15,482,14135,1
22,126532,3,780,10722,1
40,45103,5,445,32413,0
48,89772,21,412,32236,1
27,39382,2,775,20514,0
64,109291,8,602,48896,0
28,126195,9,417,42212,0
55,28756,13,460,45386,0
34,45609,10,700,25331,1
37,139074,17,497,23060,1
56,41478,21,559,6196,0
60,125978,11,346,17297,1
24,64666,22,698,7787,1
22,100683,11,858,28816,1
26,124097,12,377,45695,0
62,149714,24,423,24702,1
24,125420,12,374,30242,1
49,96315,18,436,7176,1
38,102834,18,699,25127,1
46,39153,22,804,46560,0
64,134415,13,799,32228,1
54,101325,3,872,25208,1
30,134701,12,437,33482,1
56,37999,7,349,14171,0
34,80318,22,553,40219,0
51,25814,20,862,38396,1
35,140033,22,725,47589,1
28,101077,18,846,45546,1
34,115474,11,601,8696,1
43,27443,17,880,25058,1
60,100993,5,648,25313,1
41,100916,17,348,24149,1
36,98319,18,373,46075,0
38,134777,21,560,9956,1
44,42368,4,655,15195,1
46,40328,23,881,22076,1
45,81942,8,559,6105,1
61,116751,2,594,20417,0
49,124131,9,612,29729,1
35,52306,18,481,35099,0
21,110451,2,663,37598,1
45,64915,21,487,34961,1
27,62219,14,868,17602,1
29,105879,0,842,14256,1
44,136939,6,895,25584,1
21,89644,11,847,39681,1
64,85279,16,707,30792,1
28,78028,20,713,26904,1
44,129263,23,641,48361,0
31,25126,19,519,39540,0
37,77329,4,462,31536,1
28,52632,3,519,24164,0
55,132099,11,569,17996,1
55,90310,19,699,7871,1
53,134945,23,481,27626,1
25,80176,17,504,15521,1
62,144797,16,881,48410,1
59,111066,18,855,6132,1
61,130500,8,527,38467,1
48,69327,3,895,19534,1
27,93904,20,549,28854,1
29,28797,1,740,47998,0
28,72882,3,832,44065,0
32,38718,1,495,12812,0
54,59560,14,818,9557,1
53,101589,1,369,7179,0
43,47116,3,698,48798,0
44,61244,5,502,14065,1
57,126721,6,447,13275,1
55,26645,9,771,40948,0
64,72523,18,498,25700,1
60,149085,18,725,44464,1
42,142718,21,791,47351,1
47,44256,11,441,32794,0
55,126376,2,612,33783,0
21,125158,12,464,21998,1
55,78173,17,613,18869,1
57,62430,7,320,49525,0
34,64282,20,381,33152,1
23,144719,14,880,25954,1
21,88374,0,430,36555,0
25,93244,2,898,21654,1
46,36694,7,604,40236,0
34,81264,3,670,20042,1
59,100060,15,683,30966,1
47,122416,22,744,49314,1
29,82545,9,724,19270,1
35,143195,11,460,35908,1
35,64224,13,477,20523,1
46,127516,13,789,24991,1
62,122945,1,626,15775,0
33,38224,22,897,17265,1
52,65738,4,588,24459,1
59,50150,4,892,21673,1
52,88731,5,872,32056,1
24,74688,12,872,11614,1
50,124929,8,653,41020,1
57,133618,21,327,12415,1
43,98509,14,342,28155,1
59,33577,13,722,48884,0
35,33070,23,897,21964,1
63,33666,6,476,42726,0
49,82761,24,828,42044,1
56,146178,19,793,42544,1
33,61368,1,497,37252,0
52,31783,6,876,8832,1
27,136530,5,816,30275,1
42,66914,16,813,19901,1
48,95507,24,321,43213,0
22,104026,24,411,39148,1
62,140893,1,356,47633,0
26,136255,2,365,27918,0
48,135616,4,397,24540,1
48,92526,4,443,16580,1
64,95835,0,734,43402,0
64,70765,7,385,43578,0
40,44956,11,887,29917,1
50,112895,23,643,27318,1
31,71240,3,593,15179,0
48,146008,12,870,17251,1
45,62148,22,542,24493,1
59,119270,14,860,25466,1
53,29757,10,331,35206,0
21,44097,9,690,24624,1
47,35395,2,576,31564,0
33,41241,21,831,27412,1
61,128892,13,453,32990,1
23,52696,15,682,40517,0
59,140654,9,367,18156,1
26,95480,9,513,28064,1
28,71163,11,675,30711,1
47,44816,8,512,35106,0
29,74840,0,378,21589,0
57,127547,4,680,28736,1
53,77853,19,357,25975,1
62,49917,7,325,41218,0
64,121731,10,746,12214,1
44,46566,11,365,35581,0
35,100452,0,553,25195,0
52,87823,24,343,49582,0
52,146392,21,396,32127,1
44,45806,19,853,10141,1
61,100520,24,526,33884,1
32,26759,10,735,29885,1
59,66949,4,678,7708,1
22,117374,14,477,23375,1
23,27482,4,726,20088,1
57,49442,11,606,49602,0
37,58719,4,803,15014,1
22,83066,16,567,8273,1
22,118501,16,885,42306,1
48,27079,23,307,35881,0
43,27717,11,807,36486,1
57,84676,23,775,17541,1
52,52952,14,596,13712,0
53,111444,14,463,14168,1
21,67460,5,784,8551,1
39,115397,11,896,17297,1
22,97847,19,371,48733,0
64,118607,17,866,32128,1
46,114106,13,858,7832,1
52,43449,1,537,33483,0
26,58536,8,403,27063,0
52,89077,4,509,27963,1
24,63258,19,853,18422,1
31,73302,0,767,37920,1
37,53865,22,753,16156,1
58,31645,2,567,16108,0
44,144771,5,685,36845,1
25,63000,4,686,7800,1
54,51737,20,558,43078,0
26,36485,4,582,47712,0
42,63565,0,339,7610,0
31,50522,16,785,17067,1
36,144614,18,519,38872,1
53,90155,13,428,15728,1
29,80168,11,819,34566,1
26,77487,9,559,34783,1
36,37342,19,665,25583,1
49,65806,20,843,25238,1
23,73770,17,823,12263,1
40,103623,23,315,6914,1
56,128177,10,428,28749,1
39,124785,1,874,24456,1
46,100629,24,408,30582,1
23,145993,17,832,5406,1
39,77603,24,568,18689,1
40,137726,6,461,37934,1
52,106974,23,559,38276,1
27,130947,14,401,41432,0
61,51399,10,805,24873,1
53,110382,17,870,18050,1
60,106244,22,546,5680,1
59,134575,11,836,23908,1
38,140520,5,430,23504,1
60,135904,19,652,26644,1
21,101534,22,495,42125,0
31,80106,12,681,6363,1
48,137599,19,526,47291,0
45,55678,15,775,40060,0
43,101218,17,776,6538,1
51,88230,9,564,41176,0
50,139684,22,671,46520,1
62,99055,7,785,30675,1
55,81373,17,733,23287,1
27,56480,20,510,5174,0
36,110230,0,871,31732,1
46,93836,22,676,39998,1
22,97258,7,694,42055,1
21,64986,5,749,17112,1
32,49160,4,663,44874,0
25,110595,14,756,14689,1
57,126358,21,525,49814,0
52,104111,14,430,24555,1
29,89929,1,887,38919,1
61,98506,0,775,12619,1
55,59911,22,576,11033,0
39,112127,22,455,46328,0
36,56821,10,517,9946,0
23,100039,9,489,29618,1
40,85535,17,716,39675,1
44,138453,17,845,41258,1
53,109458,16,340,23919,1
44,37175,7,606,9173,0
31,144235,14,637,48833,0
28,79771,7,613,31400,1
56,131660,16,374,9769,1
58,146300,11,578,42564,0
60,111925,7,475,19211,1
40,138374,24,572,28255,1
55,91358,13,588,32962,1
45,42327,3,571,24356,0
55,72057,0,365,25306,0
45,31150,0,782,9997,0
49,29425,18,547,22376,0
38,148654,15,455,45880,0
38,41032,13,346,43055,0
22,27198,20,753,15578,1
55,85500,15,500,23624,1
36,78394,4,423,44194,0
61,45079,8,300,49367,0
56,61220,1,490,5389,0
53,66874,17,878,38767,1
24,38859,5,815,6855,1
53,75460,8,741,45893,1
34,56419,0,442,18794,0
41,143865,8,490,40531,0
40,33705,24,832,9986,1
28,67880,15,526,37298,1
27,48236,12,612,6481,0
23,112955,8,601,8731,1
37,110514,20,759,21835,1
53,128145,12,700,32798,1
32,40358,8,850,31113,1
42,124713,10,692,24477,1
42,119914,3,506,22266,0
50,127870,1,509,25792,0
58,101918,5,414,25452,1
58,144179,13,550,48526,0
28,141243,3,518,46334,0
47,39596,5,706,16889,1
47,58572,18,742,29335,1
54,103757,5,653,16254,1
41,26279,1,857,26074,0
50,88197,17,849,16442,1
53,136496,12,441,42327,0
48,87516,8,800,21199,1
53,32083,22,846,12291,1
25,145674,18,841,45928,1
39,145307,12,806,5112,1
24,134397,10,895,26515,1
55,42771,0,580,24581,0
37,54975,23,723,31500,1
64,70648,21,569,37026,1
48,73285,6,453,21523,1
50,44063,24,382,6424,0
49,92642,20,725,24552,1
26,115093,14,574,15808,1
55,139390,0,583,43811,0
61,111143,11,472,11989,1
57,62599,6,626,28620,1
44,76920,14,362,44029,0
49,53529,20,372,5887,0
51,60954,18,674,36802,1
55,52856,24,807,24488,1
53,27573,0,697,35013,0
41,103344,16,419,21402,1
52,60367,16,736,26205,1
43,127337,2,764,31049,1
53,131732,11,585,17253,1
23,124608,5,564,23990,1
38,85774,10,619,12846,1
45,48752,2,675,30027,0
62,80029,7,388,44200,0
51,42685,13,502,8765,0
23,76693,13,633,20950,1
60,141739,9,521,14741,1
44,80961,1,340,27742,0
52,131937,13,367,29703,1
42,149956,8,813,43709,1
43,101908,2,897,42623,0
22,99532,20,426,27931,1
47,106994,7,554,28580,1
62,81133,15,315,20166,1
22,122425,1,776,34240,1
46,86268,5,361,30991,1
37,117201,20,731,43556,1
60,63243,24,567,37969,1
53,82384,11,334,15561,1
29,56653,4,875,21901,1
63,51657,1,793,45505,0
59,64952,15,861,35020,1
49,47180,4,768,30917,1
62,122432,14,624,6988,1
46,146829,11,603,49505,0
55,103411,3,575,19256,0
